well_id,from_m,to_m,lithology
NB4,0,18,CLAY
NB4,18,32,SAND
NB4,32,36,CLAY
NB4,36,43,SAND
NB4,43,46,CLAY
NB4,46,87,SAND
NB4,87,96,CLAY
NB4,96,106,SAND
NB4,106,118,GRAVEL
NB4,118,130,SAND
NB4,130,146,CLAY
NB4,143,160,SAND
NB4,160,164,CLAY
NB4,164,176,SAND
NB4,176,181,CLAY
NB4,181,186,SAND
NB4,186,196,CLAY
NB4,196,228.5,SAND
NB24,0,18,CLAY
NB24,18,24,SAND
NB24,24,31,CLAY
NB24,31,45,SAND
NB24,45,52,CLAY
NB24,52,57,SAND
NB24,57,72,CLAY
NB24,72,81,SAND
NB24,81,84,CLAY
NB24,84,87,CLAYEY SAND
NB24,87,90,CLAY
NB24,90,111,SAND
NB24,111,114,CLAY
NB24,114,123,SAND
NB24,123,126,CLAY
NB24,126,148,SAND
NB24,148,153,SANDY CLAY
NB24,153,159,SAND
NB24,159,165,SANDY CLAY
NB24,165,174,SAND
NB24,174,178,CLAY
NB24,178,183,SAND
NB24,183,190,CLAY
NB24,190,202,SAND
NB24,202,207,CLAY
NB24,207,214,SAND
NB24,214,227,CLAY
NB58,0,30,CLAY
NB58,30,75,SAND
NB58,75,80,CLAY
NB58,80,102,SAND
NB58,102,121,SANDY CLAY
NB58,121,140,SAND
NB58,140,148,CLAY
NB58,148,171,GRAVEL
NB58,171,175,CLAY
NB58,175,179,SAND
NB58,179,184,SANDY CLAY
NB58,184,195,SAND
NB58,195,199,CLAY
NB58,199,219,SAND
NB58,219,222,CLAY
NB58,222,236,SAND
NB63,0,24,CLAY
NB63,24,35,GRAVEL
NB63,35,39,SANDY CLAY
NB63,39,47,GRAVEL
NB63,47,51,CLAY
NB63,51,62,SAND
NB63,62,70,CLAY
NB63,70,88,GRAVELLY SAND
NB63,88,90,SANDY CLAY
NB63,90,98,GRAVEL
NB63,98,100,SANDY CLAY
NB63,100,111,GRAVEL
NB63,111,118,CLAY
NB63,118,141,GRAVELLY SAND
NB63,141,151,CLAY
NB63,151,162,GRAVEL
NB63,162,174,SAND
NB63,174,182,GRAVEL
NB63,182,200,SAND
NB63,200,204,CLAY
NB63,204,211,GRAVELLY SAND
NB63,211,214,SANDY CLAY
NB63,214,234,SAND
NB65,0,45,CLAY
NB65,45,60,SAND
NB65,60,66,SANDY CLAY
NB65,66,86,SAND
NB65,86,92,SANDY CLAY
NB65,92,105,SAND
NB65,105,114,CLAY
NB65,114,127,SAND
NB65,127,132,CLAY
NB65,132,149,SAND
NB65,149,157,CLAY
NB65,157,176,SAND
NB65,176,184,CLAY
NB65,164,192,SAND
NB65,192,210,SANDY CLAY
NB65,210,231,CLAYEY SAND
NB68,0,18,CLAY
NB68,18,51,SAND
NB68,51,56,SANDY CLAY
NB68,56,66,GRAVEL
NB68,66,73,SANDY CLAY
NB68,73,91,GRAVEL
NB68,91,103,SANDY CLAY
NB68,103,119,GRAVEL
NB68,119,126,CLAY
NB68,126,159,SAND
NB68,159,165,SANDY CLAY
NB68,165,169,SAND
NB68,169,174,CLAY
NB68,174,190,SAND
NB68,190,198,CLAY
NB68,198,212,SAND
NB68,212,219,SANDY CLAY
NB68,219,235,GRAVELLY SAND
NB121,0,25,CLAY
NB121,25,53,SAND
NB121,53,95,CLAY
NB121,95,103,SAND
NB121,103,123,CLAY
