formation,X,Y,Z,dip,azimuth,polarity
CLAYEY_SAND_BOTTOM,666776.0,1536872.0,-77.0,0.0,0.0,1.0
CLAYEY_SAND_TOP,666776.0,1536872.0,-74.0,0.0,0.0,1.0
CLAY_BOTTOM,652551.0,1531566.0,-111.0,0.0,0.0,1.0
CLAY_TOP,652551.0,1531566.0,-98.0,0.0,0.0,1.0
GRAVELLY_SAND_BOTTOM,654100.5,1531201.0,-123.5,0.0,0.0,1.0
GRAVELLY_SAND_TOP,654100.5,1531201.0,-111.0,0.0,0.0,1.0
GRAVEL_BOTTOM,652549.5,1531200.0,-115.0,0.0,0.0,1.0
GRAVEL_TOP,652549.5,1531200.0,-101.0,0.0,0.0,1.0
SANDYCLAY_BOTTOM,640501.0,1534701.0,-59.0,0.0,0.0,1.0
SANDYCLAY_TOP,640501.0,1534701.0,-53.0,0.0,0.0,1.0
SANDY_CLAY_BOTTOM,649601.0,1535787.0,-86.0,0.0,0.0,1.0
SANDY_CLAY_TOP,649601.0,1535787.0,-81.0,0.0,0.0,1.0
SAND_BOTTOM,654101.0,1534702.0,-106.75,0.0,0.0,1.0
SAND_TOP,654101.0,1534702.0,-93.0,0.0,0.0,1.0
