X,Y,Z,formation
666777,1536873,-77.0,CLAYEY_SAND_BOTTOM
640502,1534702,-224.0,CLAYEY_SAND_BOTTOM
666776,1536872,-77.0,CLAYEY_SAND_BOTTOM
666777,1536873,-74.0,CLAYEY_SAND_TOP
640502,1534702,-203.0,CLAYEY_SAND_TOP
666776,1536872,-74.0,CLAYEY_SAND_TOP
654111,1538553,-15.0,CLAY_BOTTOM
654111,1538553,-33.0,CLAY_BOTTOM
654111,1538553,-43.0,CLAY_BOTTOM
654111,1538553,-93.0,CLAY_BOTTOM
654111,1538553,-143.0,CLAY_BOTTOM
654111,1538553,-161.0,CLAY_BOTTOM
654111,1538553,-178.0,CLAY_BOTTOM
654111,1538553,-193.0,CLAY_BOTTOM
666777,1536873,-8.0,CLAY_BOTTOM
666777,1536873,-21.0,CLAY_BOTTOM
666777,1536873,-42.0,CLAY_BOTTOM
666777,1536873,-62.0,CLAY_BOTTOM
666777,1536873,-74.0,CLAY_BOTTOM
666777,1536873,-80.0,CLAY_BOTTOM
666777,1536873,-104.0,CLAY_BOTTOM
666777,1536873,-116.0,CLAY_BOTTOM
666777,1536873,-168.0,CLAY_BOTTOM
666777,1536873,-180.0,CLAY_BOTTOM
666777,1536873,-197.0,CLAY_BOTTOM
666777,1536873,-217.0,CLAY_BOTTOM
661826,1531567,-19.0,CLAY_BOTTOM
661826,1531567,-69.0,CLAY_BOTTOM
661826,1531567,-137.0,CLAY_BOTTOM
661826,1531567,-164.0,CLAY_BOTTOM
661826,1531567,-188.0,CLAY_BOTTOM
661826,1531567,-211.0,CLAY_BOTTOM
654101,1531201,-17.0,CLAY_BOTTOM
654101,1531201,-44.0,CLAY_BOTTOM
654101,1531201,-63.0,CLAY_BOTTOM
654101,1531201,-111.0,CLAY_BOTTOM
654101,1531201,-144.0,CLAY_BOTTOM
654101,1531201,-197.0,CLAY_BOTTOM
640502,1534702,-38.0,CLAY_BOTTOM
640502,1534702,-107.0,CLAY_BOTTOM
640502,1534702,-125.0,CLAY_BOTTOM
640502,1534702,-150.0,CLAY_BOTTOM
640502,1534702,-177.0,CLAY_BOTTOM
645102,1559402,-14.0,CLAY_BOTTOM
645102,1559402,-122.0,CLAY_BOTTOM
645102,1559402,-170.0,CLAY_BOTTOM
645102,1559402,-194.0,CLAY_BOTTOM
644686,1530412,-20.0,CLAY_BOTTOM
644686,1530412,-90.0,CLAY_BOTTOM
644686,1530412,-118.0,CLAY_BOTTOM
644686,1530412,-131.0,CLAY_BOTTOM
644686,1530412,-161.0,CLAY_BOTTOM
644686,1530412,-189.0,CLAY_BOTTOM
644686,1530412,-204.0,CLAY_BOTTOM
652549,1526143,-13.0,CLAY_BOTTOM
652549,1526143,-96.0,CLAY_BOTTOM
652549,1526143,-149.0,CLAY_BOTTOM
652549,1526143,-176.0,CLAY_BOTTOM
652549,1526143,-204.0,CLAY_BOTTOM
654110,1538552,-15.0,CLAY_BOTTOM
654110,1538552,-33.0,CLAY_BOTTOM
654110,1538552,-43.0,CLAY_BOTTOM
654110,1538552,-93.0,CLAY_BOTTOM
654110,1538552,-143.0,CLAY_BOTTOM
654110,1538552,-161.0,CLAY_BOTTOM
654110,1538552,-178.0,CLAY_BOTTOM
666776,1536872,-8.0,CLAY_BOTTOM
666776,1536872,-21.0,CLAY_BOTTOM
666776,1536872,-43.0,CLAY_BOTTOM
666776,1536872,-63.0,CLAY_BOTTOM
666776,1536872,-74.0,CLAY_BOTTOM
666776,1536872,-80.0,CLAY_BOTTOM
666776,1536872,-116.0,CLAY_BOTTOM
661824,1531566,-19.0,CLAY_BOTTOM
661824,1531566,-69.0,CLAY_BOTTOM
661824,1531566,-137.0,CLAY_BOTTOM
640501,1534701,-38.0,CLAY_BOTTOM
640501,1534701,-106.0,CLAY_BOTTOM
640501,1534701,-126.0,CLAY_BOTTOM
640501,1534701,-150.0,CLAY_BOTTOM
645101,1559401,-14.0,CLAY_BOTTOM
645101,1559401,-122.0,CLAY_BOTTOM
644685,1530411,-20.0,CLAY_BOTTOM
644685,1530411,-90.0,CLAY_BOTTOM
644685,1530411,-118.0,CLAY_BOTTOM
644685,1530411,-131.0,CLAY_BOTTOM
644685,1530411,-161.0,CLAY_BOTTOM
644685,1530411,-179.0,CLAY_BOTTOM
652548,1526142,-13.0,CLAY_BOTTOM
652548,1526142,-96.0,CLAY_BOTTOM
652548,1526142,-148.0,CLAY_BOTTOM
652548,1526142,-162.0,CLAY_BOTTOM
661823,1531565,-19.0,CLAY_BOTTOM
661823,1531565,-69.0,CLAY_BOTTOM
654109,1538551,-15.0,CLAY_BOTTOM
654109,1538551,-33.0,CLAY_BOTTOM
654109,1538551,-43.0,CLAY_BOTTOM
654109,1538551,-93.0,CLAY_BOTTOM
654100,1531200,-16.0,CLAY_BOTTOM
654100,1531200,-44.0,CLAY_BOTTOM
654100,1531200,-63.0,CLAY_BOTTOM
654100,1531200,-111.0,CLAY_BOTTOM
640500,1534700,-38.0,CLAY_BOTTOM
640500,1534700,-105.0,CLAY_BOTTOM
666789,1538216,-19.0,CLAY_BOTTOM
666789,1538216,-68.0,CLAY_BOTTOM
645100,1559400,-14.0,CLAY_BOTTOM
644684,1530410,-20.0,CLAY_BOTTOM
644684,1530410,-90.0,CLAY_BOTTOM
644684,1530410,-117.0,CLAY_BOTTOM
644684,1530410,-131.0,CLAY_BOTTOM
